reporting_org_ref,Publisher,Donor code,Donor name,Comments
NZ-1,New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme,820,New Zealand,
XI-IATI-EBRD,European Bank for Reconstruction and Development,901,International Bank for Reconstruction and Development,Other 'European Bank for Reconstruction and Development' channel IDs available too.
XM-DAC-903,International Finance Corporation,903,International Finance Corporation,
44000,The World Bank,905,International Development Association,
XM-DAC-46009,Caribbean Development Bank (CDB),906,Caribbean Development Bank,
XI-IATI-IADB,Inter-American Development Bank,909,Inter-American Development Bank,
XM-DAC-46002,African Development Bank,913,African Development Bank,
XM-DAC-46002,African Development Bank,914,African Development Fund,
XM-DAC-46004,Asian Development Bank,915,Asian Development Bank,
XI-IATI-EC_FPI,European Commission - Service for Foreign Policy Instruments,918,EU Institutions,
XI-IATI-EC_INTPA,European Commission - International Partnerships,918,EU Institutions,
XI-IATI-EC_NEAR,European Commission - Neighbourhood and Enlargement Negotiations,918,EU Institutions,
XM-DAC-928,World Health Organization (WHO),928,World Health Organisation,*2 other channel IDs available for WHO: World Health Organisation - assessed contributions (41307) & World Health Organisation - Strategic Preparedness and Response Plan (41321)
XM-DAC-41301,Food and Agriculture Organization of the United Nations (FAO),932,Food and Agriculture Organisation,
XM-DAC-41302,International Labour Organization (ILO),940,International Labour Organisation,
XI-IATI-OFID,The OPEC Fund for International Development (OFID),951,OPEC Fund for International Development,
XM-DAC-43000,International Monetary Fund,958,IMF (Concessional Trust Funds),
XM-DAC-41122,United Nations Children's Fund (UNICEF),963,UNICEF,
XM-DAC-41130,The United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA),964,UNRWA,
XM-DAC-41140,United Nations World Food Programme (WFP),966,WFP,
XM-DAC-46025,Islamic Development Bank,976,Islamic Development Bank,
XM-DAC-41108,International Fund for Agricultural Development (IFAD),988,IFAD,
XI-IATI-EBRD,European Bank for Reconstruction and Development,990,European Bank for Reconstruction and Development,
47135,Climate Investment Funds,1011,Climate Investment Funds,
XM-DAC-47111,Adaptation Fund,1012,Adaptation Fund,
XM-DAC-47086,Private Infrastructure Development Group,1014,Private Infrastructure Development Group,
XM-DAC-46012,IDB Invest,1019,IDB Invest,
XM-DAC-41146,UN Women,1046,UN Women,
XM-DAC-47015,CGIAR,1055,CGIAR,
47122,"Gavi, the vaccine alliance",1311,Global Alliance for Vaccines and Immunization,
47045,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",1312,Global Fund,
XM-DAC-47136,Global Green Growth Institute (GGGI),1313,Global Green Growth Institute,
XM-DAC-45001,International Trade Centre (ITC),1401,WTO - International Trade Centre,Other WTO channel IDs available
XM-DAC-1409,Enhanced Integrated Framework,1409,Enhanced Integrated Framework (EIF),
DAC-1601,Bill & Melinda Gates Foundation,1601,Bill & Melinda Gates Foundation,
CA-CRA_ACR-817387277,Mastercard Foundation,1606,MasterCard Foundation,
GB-CHC-326568,Charity Projects Ltd (Comic Relief),1614,Charity Projects Ltd (Comic Relief),
KE-RCO-CF2015185025,Gatsby Africa,1616,Gatsby Charitable Foundation,Gatsby Africa appears to be a subsidiary of Gatsby Charitable Foundation
US-EIN-20-1173866,Omidyar Network Fund Inc.,1622,"Omidyar Network Fund, Inc.",
XM-OCHA-HPC6770,King Salman Humanitarian Aid and Relief Centre,566,Saudi Arabia,Partial match
XM-DAC-41111,United Nations Capital Development Fund,1039,UN Capital Development Fund,
XM-DAC-41110,United Nations Joint Programme on HIV and AIDS Secretariat (UNAIDS),971,UNAIDS,
XM-DAC-41114,United Nations Development Programme (UNDP),959,UNDP,
XM-DAC-41119,United Nations Population Fund,974,UNFPA,
XM-DAC-41121,United Nations High Commissioner for Refugees (UNHCR),967,UNHCR,
XM-DAC-576,Ministry of Foreign Affairs - United Arab Emirates (UAE),576,United Arab Emirates,
XM-DAC-41123,United Nations Industrial Development Organization (UNIDO),1406,United Nations Industrial Development Organization,
XM-DAC-928,World Health Organization (WHO),1050,WHO-Strategic Preparedness and Response Plan,
US-EIN-941655673,The William and Flora Hewlett Foundation,1624,William and Flora Hewlett Foundation,
