reporting_org_ref,Publisher,Donor code,Donor name,Comments
XM-DAC-2-10,Belgian Development Cooperation,2,Belgium,
XM-DAC-3-1,"Denmark - Ministry of Foreign Affairs, Danida",3,Denmark,
FR-3,Agence Française de Développement,4,France,
FR-6,France - Ministry for Europe and Foreign Affairs,4,France,
DE-1,Germany - Ministry for Economic Cooperation and Development,5,Germany,
XM-DAC-5-52,Germany GIZ Non BMZ,5,Germany,
XM-DAC-5-7,Germany - Federal Foreign Office,5,Germany,
XM-DAC-6-4,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,6,Italy,
NL-KVK-27378529,Netherlands Enterprise Agency (RVO),7,Netherlands,
XM-DAC-7,Netherlands - Ministry of Foreign Affairs,7,Netherlands,
NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,8,Norway,
SE-0,"Sweden, through Swedish International Development Cooperation Agency (Sida)",10,Sweden,
CH-4,Switzerland - Swiss Agency for Development and Cooperation (SDC),11,Switzerland,
GB-GOV-1,"UK - Foreign, Commonwealth and Development Office",12,United Kingdom,
GB-GOV-13,"UK - Department for Business, Energy and Industrial Strategy (BEIS)",12,United Kingdom,
GB-GOV-7,"UK - Department for Environment, Food and Rural Affairs",12,United Kingdom,
FI-3,Finland - Ministry for Foreign Affairs,18,Finland,
XM-DAC-21-1,Ireland - Department of Foreign Affairs,21,Ireland,
XM-DAC-40-3,Greece - Ministry of Foreign Affairs,40,Greece,
XM-DAC-50-21,Spanish Agency for International Development Cooperation (AECID),50,Spain,
XM-DAC-61-2,Slovenia - Ministry of Foreign Affairs,61,Slovenia,
XM-DAC-69-1,Ministry of Foreign and European Affairs of the Slovak Republic,69,Slovak Republic,
XM-DAC-77,Romania Ministry of Foreign Affairs,77,Romania,
XM-DAC-84,"Lithuania, Ministry of Foreign Affairs",84,Lithuania,
CA-3,Canada - Global Affairs Canada | Affaires mondiales Canada,301,Canada,
CA-4,Canada Department of Finance / Ministère des Finances Canada,301,Canada,
XM-DAC-301-2,Canada - International Development Research Centre/Centre de recherches pour le développement international,301,Canada,
US-GOV-1,United States Agency for International Development (USAID),302,United States,
US-GOV-12,U.S. Trade and Development Agency,302,United States,
US-GOV-13,U.S. Federal Trade Commission,302,United States,
US-GOV-16,U.S. Department of Commerce,302,United States,
US-GOV-18,Millennium Challenge Corporation,302,United States,
US-GOV-2,U.S. Department of Agriculture,302,United States,
US-GOV-21,Inter-American Foundation,302,United States,
US-GOV-22,U.S. International Development Finance Corporation,302,United States,
US-GOV-6,U.S. Department of the Treasury,302,United States,
US-GOV-7,U.S. Department of Defense,302,United States,
US-GOV-9,U.S. Department of Interior,302,United States,
XM-DAC-701-2,Ministry of Foreign Affairs of  Japan,701,Japan,
XM-DAC-701-8,Japan International Cooperation Agency (JICA),701,Japan,
KR-GOV-010,Republic of Korea,742,Korea,
AU-5,Australia - Department of  Foreign Affairs and Trade,801,Australia,
XM-DAC-41116,United Nations Environment Programme (UNEP),807,UNEP,
XI-BRIDGE-6385676864,GEF Secretariat,811,Global Environment Facility,3 Global Environment Facility channel IDs available.
